Bay,DATE,gm2
CC,10/19/1987,0.00538916
CC,10/22/1987,0.0010258313
CC,12/07/1987,0.0033564067
CC,12/10/1987,0.0070068535
CC,02/15/1988,0.0012423432
CC,02/18/1988,0.0142640559
CC,04/11/1988,0.0137027784
CC,04/13/1988,0.0035951027
CC,04/14/1988,0.0055067268
CC,05/09/1988,0.0022177844
CC,05/12/1988,0.0030233565
CC,07/26/1988,0.0031073621
CC,07/30/1990,0.0047122059
CC,10/12/1990,0.0022322468
CC,10/15/1990,0.0068451787
CC,01/22/1991,0.0028066178
CC,04/11/1991,0.0101391845
CC,07/16/1991,0.0087228755
CC,10/16/1991,0.0085054181
CC,01/14/1992,0.0056129204
CC,04/07/1992,0.0096065716
CC,07/07/1992,0.0047103149
CC,10/09/1992,0.0064928348
CC,01/15/1993,0.0102236462
CC,04/09/1993,0.0129658147
CC,07/10/1993,0.0102507496
CC,10/12/1993,0.0061086601
CC,01/12/1994,0.015997296
CC,04/08/1994,0.0124265836
CC,07/05/1994,0.0153884155
CC,10/21/1994,0.0068054691
CC,01/12/1995,0.0176622628
CC,04/07/1995,0.021959724
CC,07/07/1995,0.0152601472
CC,10/06/1995,0.0112028345
CC,01/04/1996,0.0098777
CC,04/03/1996,0.0092841675
CC,07/08/1996,0.0072195835
CC,10/26/1996,0.0111124479
CC,10/27/1996,0.0042137558
CC,11/01/1996,0.0066365314
CC,01/21/1997,0.009098856
CC,04/14/1997,0.009469479
CC,07/03/1997,0.0236710186
CC,10/15/1997,0.0061278846
CC,01/06/1998,0.0060462593
CC,04/03/1998,0.0104899527
CC,07/08/1998,0.0094887035
CC,07/26/1998,0.0148438267
CC,10/15/1998,0.0075025932
CC,01/08/1999,0.0103916241
CC,04/05/1999,0.0175037396
CC,07/06/1999,0.0103087382
CC,10/29/1999,0.00746572
CC,01/27/2000,0.009696391
CC,04/13/2000,0.013468803
CC,07/06/2000,0.0144764183
CC,10/05/2000,0.004996161
CC,01/05/2001,0.011582597
CC,04/05/2001,0.0102104097
CC,07/13/2001,0.0095882926
CC,10/02/2001,0.007644098
CC,01/04/2002,0.0077521964
CC,04/02/2002,0.0088108039
CC,07/06/2002,0.006292711
CC,10/02/2002,0.0027156954
CC,01/15/2003,0.0041316893
CC,04/02/2003,0.0027982662
CC,07/17/2003,0.0040242213
CC,10/03/2003,0.003000596
CC,01/09/2004,0.009001473
CC,04/08/2004,0.0054774036
CC,07/06/2004,0.0090468554
CC,10/01/2004,0.004033676
CC,01/03/2005,0.0083056095
CC,04/08/2005,0.008499115
CC,07/05/2005,0.0071508796
CC,10/10/2005,0.0005805165
CC,01/02/2006,0.0080793278
CC,04/10/2006,0.0181932999
CC,07/14/2006,0.0082816577
CC,10/02/2006,0.005875445
CC,01/09/2007,0.0099816068
CC,04/10/2007,0.0233107958
CC,07/02/2007,0.0119339954
CC,10/04/2007,0.003924317
CC,01/03/2008,0.0048294437
CC,04/07/2008,0.0063714999
CC,07/02/2008,0.0113711276
CC,10/02/2008,0.0130748585
CC,01/21/2009,0.0228156864
CC,04/02/2009,0.0291591375
CC,04/03/2009,0.0198812731
CC,07/01/2009,0.0118312547
CC,10/19/2009,0.0045842527
CC,01/12/2010,0.0019599524
CC,04/19/2010,0.0088117493
CC,07/16/2010,0.0021329728
CC,10/27/2010,0.001460746
CC,01/19/2011,0.0069945624
CC,04/08/2011,0.0028609821
CC,07/14/2011,0.0030585847
CC,10/07/2011,0.0050157007
CC,01/11/2012,0.0033214244
CC,04/13/2012,0.0077329719
CC,07/09/2012,0.0044654391
CC,10/01/2012,0.0003195677
CC,01/07/2013,0.0010154312
CC,04/05/2013,0.0030907305
CC,07/02/2013,0.0000330913
CC,10/08/2013,0.0002798581
CC,01/14/2014,0.0014957283
CC,04/10/2014,0.0036882655
CC,07/02/2014,0.0002354212
CC,10/15/2014,0.003375316
CC,01/06/2015,0.0021452639
CC,04/06/2015,0.0052567947
CC,07/28/2015,0.0005096065
CC,10/01/2015,0.000624008
CC,01/15/2016,0.0037383752
CC,04/12/2016,0.0001966571
CC,07/18/2016,0.0000236367
CC,10/18/2016,0.0000652372
CC,02/08/2017,0.0056113447
CC,04/03/2017,0.0029555288
CC,07/10/2017,0.0000756373
