DATE,Chl
07/09/2013,0.08
07/09/2013,0.08
07/09/2013,0.07
10/02/2013,0.13
10/02/2013,0.14
10/02/2013,0.16
01/09/2014,0.01
01/09/2014,0.01
01/09/2014,0.01
04/09/2014,0.04
04/09/2014,0.05
04/09/2014,0.03
07/08/2014,0.09
07/08/2014,0.09
07/08/2014,0.09
10/09/2014,0.05
10/09/2014,0.06
10/09/2014,0.07
01/20/2015,0.02
01/20/2015,0.02
01/20/2015,0.03
04/21/2015,0.02
04/21/2015,0.02
04/21/2015,0.03
07/08/2015,0.27
07/08/2015,0.17
07/08/2015,0.25
10/07/2015,0.07
10/07/2015,0.04
10/07/2015,0.08
01/07/2016,0.07
01/07/2016,0.04
01/07/2016,0.05
04/05/2016,0.04
04/05/2016,0.06
04/05/2016,0.05
07/13/2016,0.14
07/13/2016,0.12
07/13/2016,0.13
