Date,Sta,Rep,Density
07/06/2017,C,1,2.028513707
07/06/2017,C,2,2.733985249
07/06/2017,C,3,5.079987079
07/06/2017,D,1,7.489502118
07/06/2017,D,2,3.152468152
07/06/2017,D,3,13.64477573
07/06/2017,E,1,1.111824026
07/06/2017,E,2,1.838186863
07/06/2017,E,3,1.080373083
07/06/2017,F,1,41.58952497
07/06/2017,F,2,5.546074068
07/06/2017,F,3,2.801842266
07/06/2017,B,1,1.179817846
07/06/2017,B,2,0.936601739
07/06/2017,B,3,1.166741458
07/06/2017,A,1,3.248319629
07/06/2017,A,2,4.645950611
07/06/2017,A,3,2.03719715
10/11/2017,C,1,1.578714317
10/11/2017,C,2,1.463732202
10/11/2017,C,3,1.636680007
10/11/2017,D,1,1.011977263
10/11/2017,D,2,1.572067638
10/11/2017,D,3,1.26161608
10/11/2017,E,1,0.853151978
10/11/2017,E,2,1.57138041
10/11/2017,E,3,1.124988015
10/11/2017,F,1,1.262005786
10/11/2017,F,2,7.921053244
10/11/2017,F,3,0.382175869
10/11/2017,B,1,1.387197185
10/11/2017,B,2,1.35666914
10/11/2017,B,3,0.993729848
10/11/2017,A,1,0.95974822
10/11/2017,A,2,1.817045445
10/11/2017,A,3,0.588427922
